No.;Nama Potensi Wisata;Kode ;X;Y;Elevasi (m);Foto;KET;Nama Gampong;Sejarah;Keunikan Objek;Jalur Akses;Fasilitas;Transportasi;kondisi wisata
1;Pasie lambaro (camping penyi art camp ) penyu belimbing dan lekang;G9;95,0660833333333;5,67158333333333;-27;1;;Gugop;Bencana Tsunami tahun 2004,Pernah kejadian 60 warga rohingya terdampar;Ada keong,Ada tempat duduk kayu dan ayunan,Ada kandang penyu;Kendaraan beroda;;;Ada hewan kepiting, anjing, dan keong
2;Pasie Balu ( Habitat Penyu );G11;95,0579722222222;5,68922222222222;-29;2;;Gugop;Bencana Tsunami tahun 2004,Pernah ada paus terdampar;Jalan yang sangat berliku-liku;Kendaraan beroda dua,Melewati lembah,Melewati bukit;;;Perlu direnovasi karena banyak pohon tumbang
3;bate mengeireng ;S3;95,0690277777778;5,66286111111111;-22;3;;Seurapong;Pernah kejadian Tsunami 2004,Pernah ada kerasukan;;Jalur didaki dengan keadaan berbatuan besar,Parkir mobil/motor di tepi kemudian mendaki;;;Hanya sedikit diperbagus rute perjalananya karena kalua hujan licin,Bersih
4;Ujong Bak U;S4;95,0666388888889;5,66072222222222;-10;4;;Seurapong;Bencana Tsunami tahun 2004;Hanya bisa di daki,Rumput berwarna oren,Banyak pohon kelapa;Hanya didaki;;;Bersih,Tidak ada hewan
5;Snorkling Blang Situngkoh ;BL3;95,0904722222222;5,66894444444444;-29;5;;Blang Situngkoh ;Bencana Tsunami 2004,Cerita rakyat : ada jin api;Ada ikan warna warni,Terumbung karang,Berbagai macam aneka hayati;Kendaraan beroda;Boat untuk mengakses diving,Bale (rumah panggung Aceh),Kede minuman;Perahu,Boat;Keadaan beranting kayu
6;Snorkling Paloh;P1;95,1047222222222;5,66827777777778;-28;6;;Paloh;Pernah terkena Tsunami 2004;Banyak Pondok ,Banyak karan dan Ikan  ;Hanya bisa dengan motor;Tempat makan atau balai dengan area parkir;;Pantai masih bagus, tapi tempat duduk mengalami kerusakan,Bersih
7;Spot aroe lampuyang;LH3;95,13875;5,66441666666667;-41;7;;Lhoh;pernah terdampak tsunami;Sejuk;Masuk pemukiman dan jarak setapak dengan 1 honda,hanya dapat diakses dengan motor kemudian di daki;;;Bersih dan bagus,Tidak ada hewan
8;Air terjun Lapeng ;LP ;95,0943888888889;5,69183333333333;;8;;Lapeng;Air terjun lapeng sudah ada sejak dahulu dan digunakan masyarakat desa lapeng sebagai sumber mata air  untuk mandi dan dikomsusi ;Memiliki bendungan kecil yang berada di atas air terjun dan juga terdapat 2 tampugan air. Dan air terjun hanya ada saat musim hujan  dikarenakan air yang meluap dari bendungan;Harus berjalan kaki sejauh 700 meter dari jalan utama melewati kebun dan sungai kecil;;;Banyak berbatuan di sungai
9;Hutan Magrove sudah jadi savana;LP;95,1038333333333;5,69730555555556;;9;;Lapeng;Dulunya terdapat banyak tanaman bakau namun dikarena air sudah semakin surut dan sungai juga memiliki debit air yang kecil lokasi ini mirip lapangan rimput yang hijau yang terdapat sungai2 kecil;Tanah yang  dapat terendam bila terdapat dibit air yang tinggi dari hulu sungai ;Track terdapat dibelakang sekolah  SD lapeng yang melewati jalan semen yang rusak dan diujung terdapat jalan setapak yang mengarah ke sunggai lapeng  ; ;;Memiliki nilai keindahannya sendiri dengan sungai kecil dan juga rerumputan hijau
10;Snorkling Lapeng;LP;95,1125833333333;5,69697222222222;;10;;Lapeng;Dapat diakses melalui pelabuhan lapeng;;Laut dengan menggunakan transportasi yang terdapat di pelabuhan ;Parkiran, warkop, dan kamar mandi yang belom dapat diakses;Boat dan kapal nelayan ;
11;Kuburan Tsunami;LP;95,1061944444444;5,69822222222222;;11;;Lapeng;Disaat Tsunami 2004 terdapat banyak korban yang tidak memiliki indentitas  yang terdampar didesa lapeng. Didesa ini terdapat 2 lokasi pemakaman yang satu berada di pinggir jalan utama desa lapeng, satu lokasi lagi terdapat diseberang teluk sungai dengan kondisi yang tidak terawat;Tidak terdapat warga asli desa lapeng, banyak masyarakat yang merupakan pendatang dari luar pulo aceh ;Dapat dilewati dengan motor sampai menuju keteluk dan dilanjutkan dengan berjalan kaki dari dipinggir teluk  pase dan setelah melihat pohon yang besar belok kiri melewati hutan yang lumayan berakar  ;;;Tidak terawat dan sulit diakses
12;Taman Impian 3R(Rumah Ramah Remaja);;95,1052222222222;5,69802777777778;;12;;Lapeng;Meupakan Komunitas yang berfungsi untuk mengedukasi anak remaja dengan Pomdok baca dan juga mebuat taman sejak 2 tahun terakhir yang berfungsi untuk membuat taman yang ramah lingkunagn tanpa perlu membukan lahn dengan mebakar atau pun mengunkan pestisida;Mempunyai podok dan fasilitas dengan arsitektur yang unik dan juga terdapat seni sampah( pohon2 yang digantung sampah dari laut yang dibuat oeh seniman dari jerman untuk membuat sit film);Berada disebelah jalan utama;Kamar mandi, sumur air tawar yang sangat dalam, dan juga terdapat taman Bunga serta lokasi perkebunan ;;Bersih dari sampah dan juga mendaur ulang sampah yang ada disekitarnya 
13;Ujong ngapeh (Spot macing);LP;95,1118055555555;5,701;;13;;Lapeng;Dulu di dekat daerah spot mancing terdapat banyak tanaman kapas jadi disebut ujung ngapeh (ujung kapas);Terdapat batuan yang unik dan lokasi yang memiliki pemandangan yang indah berupa air yang jernih dan juga kita dapat melihat pulau sabang dan banda aceh dari kejauhan;Menuju desa lapeng kita harus melewati jalan melewati gunung dan juga lembah dengan jarak yang cukup jauh dari desa lainnya. Di ujung jalan desa kita dapat menemui pelabuhan untuk memakirkan motor dan dapat dilanjutin dengan berjalan kaki sejauh 475 meter melewati jalur setapak yang berada di daerah kebun warga dengan memanjat 2 pagar kebun;Tempat parkir, warkop, pelabuhan dan juga terdapat pondok yang berada dijalan setapak menuju titik pemancingan  ;;Masih alami dan juga indah dengan pemandangan pohon dan juga berbatuan Tidak terawat dan sulit diakses
14;Spot Camping Alue raya;AR5;95,0593611111111;5,71241666666667;-22;14;;Alue Raya;Pernah terkena Tsunami  2004;Tempat camping yang luas,Pemandangan laut dan bukit,Karang dan ikan;Bisa masuk Motor dan mobil;;;Masih alami dan juga indah dengan pemandangan pohon dan juga berbatuan 
15;Lhok krut (snorkling ) dengan Pelabuhan ;AR3;95,0549444444444;5,71066666666667;-27;15;;Alue Raya;;Banyak ikan dan karang ;Hanya bisa dilalui dengan motor;;;Bersih dan adem,banyak kekurangan Fasilitas pendukung  
16;Snorkling Rinon;;95,0735;5,72302777777778;0;16;;Rinon;;;;;;
17;Pantai Rinon;;95,07225;5,72372222222222;1;17;;Rinon;Rinon berasal dari RI NOL diberi nama karna sebenar sebelum titik nol disabang gampong rinon merupakan titik pertama ;Pantai memiliki ombak yang kecil sehingga air yang  tenang;Dapat diakses dengan mengunakan motor, mobil dan kendaraan lain ;Kantin,Pondok,Dekat musalla,Terdapat spot foto perahu;;Indah namun terdapat beberapa titik yang terdapat sampah dan juga terdapat pelabuhan nelayan sehingga banyak perahu nelayan yang berlayar
18;Mercusuar Willem's Torrent;;95,05725;5,75097222222222;34;18;;Melingge;Mercusuar Willem's Torrent III berdiri kokoh di ujung Desa Meulingge di Pulau Breueh, Kecamatan Pulo Aceh, Aceh Besar. Menara suar berusia ratusan tahun peninggalan Belanda itu disebut hanya ada tiga di dunia.Mercusuar yang dibangun Belanda pada 1875 itu berada di hutan Meulingge yang menghadap ke Samudera Hindia. Untuk ke lokasi, traveler dari Banda Aceh dapat menuju ke Pulau Breueh menggunakan kapal nelayan.;Wisata ini tidak dibuka setiap harinya ada waktu waktu tertentu, namun jika ingin berkunjung di hari yang tutup bisa menggunjungi perkarangannya saja, karena di Lokasi wisata ini tidak hanya ada mercusuar melainkan terdapat penjara di jaman Belanda. Untuk pengunjung yang akan datang disarankan membawa payung, jaket, dan topi, dikarenkan cuaca yang sangat Terik jika panas dan dingin jika hujan turun.;Akses jalan menuju mercusuar bagus dapat diakses mengunakan semua kedaraan namun jalan yang berkelok dan juga menanjak ;didaerah wisata ini tidak menyediakan kantin jadi diharapkan penggunjung membawa bekal sendiri;;Bagus dan bersih namun ada beberapa kerusakan dan akses yang gratis tanpa dipungut biaya 
19;Spot Foto Desa Melingge;;95,0465;5,74186111111111;50;19;;Melingge;Menjadi spot yang indah karena berada ditebing yang dapat melihat pantai melingge dari atas gunung;Terdapat dipinggir jalan menuju mercusuar dgn kondisi tempat yang disemen;;;;Tersemen namun tidak ada pembatas
20;Pantai melingge;;95,0439444444444;5,73641666666667;2;20;;Melingge;;;;Kantin,Pondok,Dekat musalla,Terdapat spot foto perahu,Dan terdapat pondok latihan rapai debus;;Pelabuhan yang rusah dan terdapat akses jalan yang sedikit rusak didekat pelabuhan,pelabuhan nelayan sehingga banyak perahu nelayan yang berlayar